New claim date,Type,Subgroup,Initial claims
11/03/2013,Initial claims by education,Not available,841
11/10/2013,Initial claims by education,Not available,1034
11/17/2013,Initial claims by education,Not available,805
11/24/2013,Initial claims by education,Not available,1658
12/01/2013,Initial claims by education,Not available,979
12/08/2013,Initial claims by education,Not available,908
12/15/2013,Initial claims by education,Not available,1429
12/22/2013,Initial claims by education,Not available,7410
12/29/2013,Initial claims by education,Not available,1551
01/05/2014,Initial claims by education,Not available,3463
01/12/2014,Initial claims by education,Not available,1075
01/19/2014,Initial claims by education,Not available,1142
01/26/2014,Initial claims by education,Not available,852
02/02/2014,Initial claims by education,Not available,956
02/09/2014,Initial claims by education,Not available,1012
02/16/2014,Initial claims by education,Not available,816
02/23/2014,Initial claims by education,Not available,616
03/02/2014,Initial claims by education,Not available,1010
03/09/2014,Initial claims by education,Not available,585
03/16/2014,Initial claims by education,Not available,537
03/23/2014,Initial claims by education,Not available,546
03/30/2014,Initial claims by education,Not available,392
04/06/2014,Initial claims by education,Not available,640
04/13/2014,Initial claims by education,Not available,911
04/20/2014,Initial claims by education,Not available,479
04/27/2014,Initial claims by education,Not available,474
05/04/2014,Initial claims by education,Not available,491
05/11/2014,Initial claims by education,Not available,483
05/18/2014,Initial claims by education,Not available,452
05/25/2014,Initial claims by education,Not available,451
06/01/2014,Initial claims by education,Not available,590
06/08/2014,Initial claims by education,Not available,462
06/15/2014,Initial claims by education,Not available,527
06/22/2014,Initial claims by education,Not available,885
06/29/2014,Initial claims by education,Not available,952
07/06/2014,Initial claims by education,Not available,1146
07/13/2014,Initial claims by education,Not available,588
07/20/2014,Initial claims by education,Not available,527
07/27/2014,Initial claims by education,Not available,571
08/03/2014,Initial claims by education,Not available,715
08/10/2014,Initial claims by education,Not available,658
08/17/2014,Initial claims by education,Not available,546
08/24/2014,Initial claims by education,Not available,427
08/31/2014,Initial claims by education,Not available,591
09/07/2014,Initial claims by education,Not available,467
09/14/2014,Initial claims by education,Not available,377
09/21/2014,Initial claims by education,Not available,374
09/28/2014,Initial claims by education,Not available,410
10/05/2014,Initial claims by education,Not available,643
10/12/2014,Initial claims by education,Not available,380
10/19/2014,Initial claims by education,Not available,347
10/26/2014,Initial claims by education,Not available,409
11/02/2014,Initial claims by education,Not available,497
11/09/2014,Initial claims by education,Not available,480
11/16/2014,Initial claims by education,Not available,442
11/23/2014,Initial claims by education,Not available,944
11/30/2014,Initial claims by education,Not available,632
12/07/2014,Initial claims by education,Not available,601
12/14/2014,Initial claims by education,Not available,675
12/21/2014,Initial claims by education,Not available,5989
12/28/2014,Initial claims by education,Not available,2205
01/04/2015,Initial claims by education,Not available,2830
01/11/2015,Initial claims by education,Not available,891
01/18/2015,Initial claims by education,Not available,715
01/25/2015,Initial claims by education,Not available,1143
02/01/2015,Initial claims by education,Not available,751
02/08/2015,Initial claims by education,Not available,809
02/15/2015,Initial claims by education,Not available,818
02/22/2015,Initial claims by education,Not available,471
03/01/2015,Initial claims by education,Not available,669
03/08/2015,Initial claims by education,Not available,523
03/15/2015,Initial claims by education,Not available,395
03/22/2015,Initial claims by education,Not available,260
03/29/2015,Initial claims by education,Not available,381
04/05/2015,Initial claims by education,Not available,796
04/12/2015,Initial claims by education,Not available,703
04/19/2015,Initial claims by education,Not available,392
04/26/2015,Initial claims by education,Not available,347
05/03/2015,Initial claims by education,Not available,481
05/10/2015,Initial claims by education,Not available,363
05/17/2015,Initial claims by education,Not available,405
05/24/2015,Initial claims by education,Not available,335
05/31/2015,Initial claims by education,Not available,384
06/07/2015,Initial claims by education,Not available,363
06/14/2015,Initial claims by education,Not available,375
06/21/2015,Initial claims by education,Not available,862
06/28/2015,Initial claims by education,Not available,612
07/05/2015,Initial claims by education,Not available,932
07/12/2015,Initial claims by education,Not available,449
07/19/2015,Initial claims by education,Not available,428
07/26/2015,Initial claims by education,Not available,396
08/02/2015,Initial claims by education,Not available,580
08/09/2015,Initial claims by education,Not available,454
08/16/2015,Initial claims by education,Not available,438
08/23/2015,Initial claims by education,Not available,333
08/30/2015,Initial claims by education,Not available,396
09/06/2015,Initial claims by education,Not available,361
09/13/2015,Initial claims by education,Not available,318
09/20/2015,Initial claims by education,Not available,289
09/27/2015,Initial claims by education,Not available,352
10/04/2015,Initial claims by education,Not available,592
10/11/2015,Initial claims by education,Not available,507
10/18/2015,Initial claims by education,Not available,302
10/25/2015,Initial claims by education,Not available,310
11/01/2015,Initial claims by education,Not available,502
11/08/2015,Initial claims by education,Not available,575
11/15/2015,Initial claims by education,Not available,474
11/22/2015,Initial claims by education,Not available,942
11/29/2015,Initial claims by education,Not available,527
12/06/2015,Initial claims by education,Not available,489
12/13/2015,Initial claims by education,Not available,528
12/20/2015,Initial claims by education,Not available,3739
12/27/2015,Initial claims by education,Not available,2840
01/03/2016,Initial claims by education,Not available,4398
01/10/2016,Initial claims by education,Not available,1392
01/17/2016,Initial claims by education,Not available,1155
01/24/2016,Initial claims by education,Not available,855
01/31/2016,Initial claims by education,Not available,859
02/07/2016,Initial claims by education,Not available,886
02/14/2016,Initial claims by education,Not available,821
02/21/2016,Initial claims by education,Not available,440
02/28/2016,Initial claims by education,Not available,461
03/06/2016,Initial claims by education,Not available,462
03/13/2016,Initial claims by education,Not available,415
03/20/2016,Initial claims by education,Not available,358
03/27/2016,Initial claims by education,Not available,289
04/03/2016,Initial claims by education,Not available,693
04/10/2016,Initial claims by education,Not available,597
04/17/2016,Initial claims by education,Not available,633
04/24/2016,Initial claims by education,Not available,414
05/01/2016,Initial claims by education,Not available,524
05/08/2016,Initial claims by education,Not available,466
05/15/2016,Initial claims by education,Not available,440
05/22/2016,Initial claims by education,Not available,453
05/29/2016,Initial claims by education,Not available,432
06/05/2016,Initial claims by education,Not available,481
06/12/2016,Initial claims by education,Not available,682
06/19/2016,Initial claims by education,Not available,788
06/26/2016,Initial claims by education,Not available,416
07/03/2016,Initial claims by education,Not available,1423
07/10/2016,Initial claims by education,Not available,529
07/17/2016,Initial claims by education,Not available,540
07/24/2016,Initial claims by education,Not available,543
07/31/2016,Initial claims by education,Not available,692
08/07/2016,Initial claims by education,Not available,630
08/14/2016,Initial claims by education,Not available,477
08/21/2016,Initial claims by education,Not available,392
08/28/2016,Initial claims by education,Not available,398
09/04/2016,Initial claims by education,Not available,520
09/11/2016,Initial claims by education,Not available,326
09/18/2016,Initial claims by education,Not available,362
09/25/2016,Initial claims by education,Not available,283
10/02/2016,Initial claims by education,Not available,646
10/09/2016,Initial claims by education,Not available,408
10/16/2016,Initial claims by education,Not available,447
10/23/2016,Initial claims by education,Not available,442
10/30/2016,Initial claims by education,Not available,515
11/06/2016,Initial claims by education,Not available,601
11/13/2016,Initial claims by education,Not available,531
11/20/2016,Initial claims by education,Not available,1057
11/27/2016,Initial claims by education,Not available,573
12/04/2016,Initial claims by education,Not available,700
12/11/2016,Initial claims by education,Not available,850
12/18/2016,Initial claims by education,Not available,1691
12/25/2016,Initial claims by education,Not available,3985
01/08/2017,Initial claims by education,Not available,11274
01/15/2017,Initial claims by education,Not available,1881
01/22/2017,Initial claims by education,Not available,1064
01/29/2017,Initial claims by education,Not available,946
02/05/2017,Initial claims by education,Not available,1207
02/12/2017,Initial claims by education,Not available,989
02/19/2017,Initial claims by education,Not available,816
02/26/2017,Initial claims by education,Not available,717
03/05/2017,Initial claims by education,Not available,711
03/12/2017,Initial claims by education,Not available,797
03/19/2017,Initial claims by education,Not available,377
03/26/2017,Initial claims by education,Not available,154
04/02/2017,Initial claims by education,Not available,432
04/09/2017,Initial claims by education,Not available,529
04/16/2017,Initial claims by education,Not available,349
04/23/2017,Initial claims by education,Not available,259
04/30/2017,Initial claims by education,Not available,226
05/07/2017,Initial claims by education,Not available,340
05/14/2017,Initial claims by education,Not available,260
05/21/2017,Initial claims by education,Not available,214
05/28/2017,Initial claims by education,Not available,389
06/04/2017,Initial claims by education,Not available,212
06/11/2017,Initial claims by education,Not available,228
06/18/2017,Initial claims by education,Not available,479
06/25/2017,Initial claims by education,Not available,388
07/02/2017,Initial claims by education,Not available,728
07/09/2017,Initial claims by education,Not available,202
07/16/2017,Initial claims by education,Not available,136
07/23/2017,Initial claims by education,Not available,79
07/30/2017,Initial claims by education,Not available,140
08/06/2017,Initial claims by education,Not available,131
08/13/2017,Initial claims by education,Not available,104
08/20/2017,Initial claims by education,Not available,100
08/27/2017,Initial claims by education,Not available,82
09/03/2017,Initial claims by education,Not available,107
09/10/2017,Initial claims by education,Not available,75
09/17/2017,Initial claims by education,Not available,68
09/24/2017,Initial claims by education,Not available,58
10/08/2017,Initial claims by education,Not available,2766
10/15/2017,Initial claims by education,Not available,80
10/22/2017,Initial claims by education,Not available,86
10/29/2017,Initial claims by education,Not available,105
11/05/2017,Initial claims by education,Not available,318
11/12/2017,Initial claims by education,Not available,153
11/19/2017,Initial claims by education,Not available,170
11/26/2017,Initial claims by education,Not available,113
12/03/2017,Initial claims by education,Not available,127
12/10/2017,Initial claims by education,Not available,243
12/17/2017,Initial claims by education,Not available,722
12/24/2017,Initial claims by education,Not available,4369
12/31/2017,Initial claims by education,Not available,2186
01/07/2018,Initial claims by education,Not available,6064
01/14/2018,Initial claims by education,Not available,2581
01/21/2018,Initial claims by education,Not available,1939
01/28/2018,Initial claims by education,Not available,1736
02/04/2018,Initial claims by education,Not available,1824
02/11/2018,Initial claims by education,Not available,1288
02/18/2018,Initial claims by education,Not available,922
02/25/2018,Initial claims by education,Not available,482
03/04/2018,Initial claims by education,Not available,312
03/11/2018,Initial claims by education,Not available,160
03/18/2018,Initial claims by education,Not available,161
03/25/2018,Initial claims by education,Not available,128
04/08/2018,Initial claims by education,Not available,2853
04/15/2018,Initial claims by education,Not available,189
04/22/2018,Initial claims by education,Not available,101
04/29/2018,Initial claims by education,Not available,103
05/06/2018,Initial claims by education,Not available,132
05/13/2018,Initial claims by education,Not available,194
05/20/2018,Initial claims by education,Not available,133
05/27/2018,Initial claims by education,Not available,84
06/03/2018,Initial claims by education,Not available,97
06/10/2018,Initial claims by education,Not available,106
06/17/2018,Initial claims by education,Not available,186
06/24/2018,Initial claims by education,Not available,292
07/08/2018,Initial claims by education,Not available,4811
07/15/2018,Initial claims by education,Not available,133
07/22/2018,Initial claims by education,Not available,104
07/29/2018,Initial claims by education,Not available,120
08/05/2018,Initial claims by education,Not available,149
08/12/2018,Initial claims by education,Not available,113
08/19/2018,Initial claims by education,Not available,77
08/26/2018,Initial claims by education,Not available,94
09/02/2018,Initial claims by education,Not available,116
09/09/2018,Initial claims by education,Not available,121
09/16/2018,Initial claims by education,Not available,185
09/23/2018,Initial claims by education,Not available,74
09/30/2018,Initial claims by education,Not available,99
10/07/2018,Initial claims by education,Not available,293
10/14/2018,Initial claims by education,Not available,334
10/21/2018,Initial claims by education,Not available,1790
10/28/2018,Initial claims by education,Not available,2034
11/04/2018,Initial claims by education,Not available,2219
11/11/2018,Initial claims by education,Not available,2074
11/18/2018,Initial claims by education,Not available,2466
11/25/2018,Initial claims by education,Not available,2295
12/02/2018,Initial claims by education,Not available,2608
12/09/2018,Initial claims by education,Not available,2861
12/16/2018,Initial claims by education,Not available,4322
12/23/2018,Initial claims by education,Not available,8235
12/30/2018,Initial claims by education,Not available,2721
01/06/2019,Initial claims by education,Not available,698
01/13/2019,Initial claims by education,Not available,227
01/20/2019,Initial claims by education,Not available,265
01/27/2019,Initial claims by education,Not available,218
02/03/2019,Initial claims by education,Not available,230
02/10/2019,Initial claims by education,Not available,199
02/17/2019,Initial claims by education,Not available,179
02/24/2019,Initial claims by education,Not available,179
03/03/2019,Initial claims by education,Not available,213
03/10/2019,Initial claims by education,Not available,192
03/17/2019,Initial claims by education,Not available,146
03/24/2019,Initial claims by education,Not available,137
03/31/2019,Initial claims by education,Not available,162
04/07/2019,Initial claims by education,Not available,603
04/14/2019,Initial claims by education,Not available,444
04/21/2019,Initial claims by education,Not available,149
04/28/2019,Initial claims by education,Not available,156
05/05/2019,Initial claims by education,Not available,167
05/12/2019,Initial claims by education,Not available,259
05/19/2019,Initial claims by education,Not available,224
05/26/2019,Initial claims by education,Not available,220
06/02/2019,Initial claims by education,Not available,304
06/09/2019,Initial claims by education,Not available,312
06/16/2019,Initial claims by education,Not available,548
06/23/2019,Initial claims by education,Not available,841
06/30/2019,Initial claims by education,Not available,280
07/07/2019,Initial claims by education,Not available,842
07/14/2019,Initial claims by education,Not available,337
07/21/2019,Initial claims by education,Not available,373
07/28/2019,Initial claims by education,Not available,482
08/04/2019,Initial claims by education,Not available,527
08/11/2019,Initial claims by education,Not available,438
08/18/2019,Initial claims by education,Not available,355
08/25/2019,Initial claims by education,Not available,359
09/01/2019,Initial claims by education,Not available,385
09/08/2019,Initial claims by education,Not available,546
09/15/2019,Initial claims by education,Not available,378
09/22/2019,Initial claims by education,Not available,313
09/29/2019,Initial claims by education,Not available,433
10/06/2019,Initial claims by education,Not available,662
10/13/2019,Initial claims by education,Not available,430
10/20/2019,Initial claims by education,Not available,562
10/27/2019,Initial claims by education,Not available,704
11/03/2019,Initial claims by education,Not available,539
11/10/2019,Initial claims by education,Not available,501
11/17/2019,Initial claims by education,Not available,779
11/24/2019,Initial claims by education,Not available,614
12/01/2019,Initial claims by education,Not available,615
12/08/2019,Initial claims by education,Not available,745
12/15/2019,Initial claims by education,Not available,1469
12/22/2019,Initial claims by education,Not available,2880
12/29/2019,Initial claims by education,Not available,685
01/05/2020,Initial claims by education,Not available,1680
01/12/2020,Initial claims by education,Not available,787
01/19/2020,Initial claims by education,Not available,702
01/26/2020,Initial claims by education,Not available,696
02/02/2020,Initial claims by education,Not available,791
02/09/2020,Initial claims by education,Not available,640
02/16/2020,Initial claims by education,Not available,551
02/23/2020,Initial claims by education,Not available,606
03/01/2020,Initial claims by education,Not available,793
03/08/2020,Initial claims by education,Not available,4564
03/15/2020,Initial claims by education,Not available,26170
03/22/2020,Initial claims by education,Not available,39517
03/29/2020,Initial claims by education,Not available,40182
04/05/2020,Initial claims by education,Not available,25404
04/12/2020,Initial claims by education,Not available,17994
04/19/2020,Initial claims by education,Not available,13597
04/26/2020,Initial claims by education,Not available,16596
05/03/2020,Initial claims by education,Not available,5817
05/10/2020,Initial claims by education,Not available,2794
05/17/2020,Initial claims by education,Not available,3185
05/24/2020,Initial claims by education,Not available,2204
05/31/2020,Initial claims by education,Not available,2011
06/07/2020,Initial claims by education,Not available,1719
06/14/2020,Initial claims by education,Not available,1566
06/21/2020,Initial claims by education,Not available,2483
06/28/2020,Initial claims by education,Not available,1927
07/05/2020,Initial claims by education,Not available,72575
07/12/2020,Initial claims by education,Not available,1056
07/19/2020,Initial claims by education,Not available,975
07/26/2020,Initial claims by education,Not available,889
08/02/2020,Initial claims by education,Not available,1083
08/09/2020,Initial claims by education,Not available,858
08/16/2020,Initial claims by education,Not available,765
08/23/2020,Initial claims by education,Not available,799
08/30/2020,Initial claims by education,Not available,750
09/06/2020,Initial claims by education,Not available,875
09/13/2020,Initial claims by education,Not available,645
09/20/2020,Initial claims by education,Not available,602
09/27/2020,Initial claims by education,Not available,643
10/04/2020,Initial claims by education,Not available,34006
10/11/2020,Initial claims by education,Not available,748
10/18/2020,Initial claims by education,Not available,867
10/25/2020,Initial claims by education,Not available,844
11/01/2020,Initial claims by education,Not available,787
11/08/2020,Initial claims by education,Not available,556
11/15/2020,Initial claims by education,Not available,801
11/22/2020,Initial claims by education,Not available,581
11/29/2020,Initial claims by education,Not available,980
12/06/2020,Initial claims by education,Not available,792
12/13/2020,Initial claims by education,Not available,1028
12/20/2020,Initial claims by education,Not available,2420
12/27/2020,Initial claims by education,Not available,1004
01/03/2021,Initial claims by education,Not available,32670
01/10/2021,Initial claims by education,Not available,1496
01/17/2021,Initial claims by education,Not available,1204
01/24/2021,Initial claims by education,Not available,1220
01/31/2021,Initial claims by education,Not available,1440
02/07/2021,Initial claims by education,Not available,903
02/14/2021,Initial claims by education,Not available,637
02/21/2021,Initial claims by education,Not available,639
02/28/2021,Initial claims by education,Not available,753
03/07/2021,Initial claims by education,Not available,903
03/14/2021,Initial claims by education,Not available,4342
03/21/2021,Initial claims by education,Not available,2366
03/28/2021,Initial claims by education,Not available,2725
04/04/2021,Initial claims by education,Not available,39798
04/11/2021,Initial claims by education,Not available,1329
04/18/2021,Initial claims by education,Not available,1022
04/25/2021,Initial claims by education,Not available,1026
05/02/2021,Initial claims by education,Not available,863
05/09/2021,Initial claims by education,Not available,759
05/16/2021,Initial claims by education,Not available,743
05/23/2021,Initial claims by education,Not available,748
05/30/2021,Initial claims by education,Not available,992
06/06/2021,Initial claims by education,Not available,591
06/13/2021,Initial claims by education,Not available,800
06/20/2021,Initial claims by education,Not available,864
06/27/2021,Initial claims by education,Not available,823
07/04/2021,Initial claims by education,Not available,36338
07/11/2021,Initial claims by education,Not available,447
07/18/2021,Initial claims by education,Not available,416
07/25/2021,Initial claims by education,Not available,484
08/01/2021,Initial claims by education,Not available,529
08/08/2021,Initial claims by education,Not available,445
08/15/2021,Initial claims by education,Not available,362
08/22/2021,Initial claims by education,Not available,259
08/29/2021,Initial claims by education,Not available,273
09/05/2021,Initial claims by education,Not available,288
09/12/2021,Initial claims by education,Not available,322
09/19/2021,Initial claims by education,Not available,258
09/26/2021,Initial claims by education,Not available,218
10/03/2021,Initial claims by education,Not available,3665
10/10/2021,Initial claims by education,Not available,308
10/17/2021,Initial claims by education,Not available,269
10/24/2021,Initial claims by education,Not available,359
10/31/2021,Initial claims by education,Not available,341
11/07/2021,Initial claims by education,Not available,272
11/14/2021,Initial claims by education,Not available,290
11/21/2021,Initial claims by education,Not available,272
11/28/2021,Initial claims by education,Not available,242
12/05/2021,Initial claims by education,Not available,298
12/12/2021,Initial claims by education,Not available,500
12/19/2021,Initial claims by education,Not available,1910
12/26/2021,Initial claims by education,Not available,882
01/02/2022,Initial claims by education,Not available,1138
01/09/2022,Initial claims by education,Not available,528
01/16/2022,Initial claims by education,Not available,407
01/23/2022,Initial claims by education,Not available,347
01/30/2022,Initial claims by education,Not available,416
02/06/2022,Initial claims by education,Not available,181
02/13/2022,Initial claims by education,Not available,200
02/20/2022,Initial claims by education,Not available,143
02/27/2022,Initial claims by education,Not available,127
03/06/2022,Initial claims by education,Not available,153
03/13/2022,Initial claims by education,Not available,220
03/20/2022,Initial claims by education,Not available,159
03/27/2022,Initial claims by education,Not available,130
04/03/2022,Initial claims by education,Not available,183
04/10/2022,Initial claims by education,Not available,167
04/17/2022,Initial claims by education,Not available,144
04/24/2022,Initial claims by education,Not available,78
05/01/2022,Initial claims by education,Not available,114
05/08/2022,Initial claims by education,Not available,92
05/15/2022,Initial claims by education,Not available,300
05/22/2022,Initial claims by education,Not available,128
05/29/2022,Initial claims by education,Not available,147
06/05/2022,Initial claims by education,Not available,85
06/12/2022,Initial claims by education,Not available,60
06/19/2022,Initial claims by education,Not available,193
01/09/2005,Initial claims by education,Total,4529
01/16/2005,Initial claims by education,Total,3897
01/23/2005,Initial claims by education,Total,3981
01/30/2005,Initial claims by education,Total,3568
02/06/2005,Initial claims by education,Total,2592
02/13/2005,Initial claims by education,Total,3018
02/20/2005,Initial claims by education,Total,3377
02/27/2005,Initial claims by education,Total,2715
03/06/2005,Initial claims by education,Total,2431
03/13/2005,Initial claims by education,Total,2401
03/20/2005,Initial claims by education,Total,1753
03/27/2005,Initial claims by education,Total,2027
04/03/2005,Initial claims by education,Total,3276
04/10/2005,Initial claims by education,Total,2146
04/17/2005,Initial claims by education,Total,3125
04/24/2005,Initial claims by education,Total,2039
05/01/2005,Initial claims by education,Total,2286
05/08/2005,Initial claims by education,Total,1994
05/15/2005,Initial claims by education,Total,2053
05/22/2005,Initial claims by education,Total,2191
05/29/2005,Initial claims by education,Total,2145
06/05/2005,Initial claims by education,Total,2271
06/12/2005,Initial claims by education,Total,1980
06/19/2005,Initial claims by education,Total,2789
06/26/2005,Initial claims by education,Total,3189
07/03/2005,Initial claims by education,Total,4929
07/10/2005,Initial claims by education,Total,2491
07/17/2005,Initial claims by education,Total,2440
07/24/2005,Initial claims by education,Total,2394
07/31/2005,Initial claims by education,Total,2916
08/07/2005,Initial claims by education,Total,2387
08/14/2005,Initial claims by education,Total,2232
08/21/2005,Initial claims by education,Total,2081
08/28/2005,Initial claims by education,Total,2226
09/04/2005,Initial claims by education,Total,1967
09/11/2005,Initial claims by education,Total,1949
09/18/2005,Initial claims by education,Total,1839
09/25/2005,Initial claims by education,Total,1694
10/02/2005,Initial claims by education,Total,3143
10/09/2005,Initial claims by education,Total,2251
10/16/2005,Initial claims by education,Total,2264
10/23/2005,Initial claims by education,Total,2023
10/30/2005,Initial claims by education,Total,2488
11/06/2005,Initial claims by education,Total,1971
11/13/2005,Initial claims by education,Total,2440
11/20/2005,Initial claims by education,Total,2374
11/27/2005,Initial claims by education,Total,2501
12/04/2005,Initial claims by education,Total,2983
12/11/2005,Initial claims by education,Total,3051
12/18/2005,Initial claims by education,Total,4839
12/25/2005,Initial claims by education,Total,10955
01/08/2006,Initial claims by education,Total,11760
01/15/2006,Initial claims by education,Total,3436
01/22/2006,Initial claims by education,Total,3258
01/29/2006,Initial claims by education,Total,3277
02/05/2006,Initial claims by education,Total,2814
02/12/2006,Initial claims by education,Total,2587
02/19/2006,Initial claims by education,Total,4487
02/26/2006,Initial claims by education,Total,2591
03/05/2006,Initial claims by education,Total,2492
03/12/2006,Initial claims by education,Total,2098
03/19/2006,Initial claims by education,Total,1840
03/26/2006,Initial claims by education,Total,1832
04/02/2006,Initial claims by education,Total,3378
04/09/2006,Initial claims by education,Total,1836
04/16/2006,Initial claims by education,Total,3291
04/23/2006,Initial claims by education,Total,2026
04/30/2006,Initial claims by education,Total,2492
05/07/2006,Initial claims by education,Total,2173
05/14/2006,Initial claims by education,Total,2244
05/21/2006,Initial claims by education,Total,2156
05/28/2006,Initial claims by education,Total,1858
06/04/2006,Initial claims by education,Total,2445
06/11/2006,Initial claims by education,Total,1922
06/18/2006,Initial claims by education,Total,2575
06/25/2006,Initial claims by education,Total,3130
07/02/2006,Initial claims by education,Total,5374
07/09/2006,Initial claims by education,Total,2517
07/16/2006,Initial claims by education,Total,2504
07/23/2006,Initial claims by education,Total,2221
07/30/2006,Initial claims by education,Total,2667
08/06/2006,Initial claims by education,Total,2361
08/13/2006,Initial claims by education,Total,2261
08/20/2006,Initial claims by education,Total,1988
08/27/2006,Initial claims by education,Total,2016
09/03/2006,Initial claims by education,Total,2069
09/10/2006,Initial claims by education,Total,2014
09/17/2006,Initial claims by education,Total,1931
09/24/2006,Initial claims by education,Total,1599
10/08/2006,Initial claims by education,Total,5304
10/15/2006,Initial claims by education,Total,2116
10/22/2006,Initial claims by education,Total,2188
10/29/2006,Initial claims by education,Total,2269
11/05/2006,Initial claims by education,Total,2092
11/12/2006,Initial claims by education,Total,2555
11/19/2006,Initial claims by education,Total,2486
11/26/2006,Initial claims by education,Total,2401
12/03/2006,Initial claims by education,Total,3113
12/10/2006,Initial claims by education,Total,2812
12/17/2006,Initial claims by education,Total,4141
12/24/2006,Initial claims by education,Total,12023
12/31/2006,Initial claims by education,Total,2979
01/07/2007,Initial claims by education,Total,8298
01/14/2007,Initial claims by education,Total,3732
01/21/2007,Initial claims by education,Total,3479
01/28/2007,Initial claims by education,Total,3695
02/04/2007,Initial claims by education,Total,3775
02/11/2007,Initial claims by education,Total,2687
02/18/2007,Initial claims by education,Total,3381
02/25/2007,Initial claims by education,Total,2662
03/04/2007,Initial claims by education,Total,2572
03/11/2007,Initial claims by education,Total,2078
03/18/2007,Initial claims by education,Total,2126
03/25/2007,Initial claims by education,Total,1735
04/08/2007,Initial claims by education,Total,5391
04/15/2007,Initial claims by education,Total,3224
04/22/2007,Initial claims by education,Total,1969
04/29/2007,Initial claims by education,Total,2167
05/06/2007,Initial claims by education,Total,2048
05/13/2007,Initial claims by education,Total,2029
05/20/2007,Initial claims by education,Total,2142
05/27/2007,Initial claims by education,Total,1700
06/03/2007,Initial claims by education,Total,2397
06/10/2007,Initial claims by education,Total,1978
06/17/2007,Initial claims by education,Total,2382
06/24/2007,Initial claims by education,Total,2982
07/08/2007,Initial claims by education,Total,8083
07/15/2007,Initial claims by education,Total,2502
07/22/2007,Initial claims by education,Total,2244
07/29/2007,Initial claims by education,Total,2562
08/05/2007,Initial claims by education,Total,2575
08/12/2007,Initial claims by education,Total,2124
08/19/2007,Initial claims by education,Total,2097
08/26/2007,Initial claims by education,Total,1928
09/02/2007,Initial claims by education,Total,2049
09/09/2007,Initial claims by education,Total,1981
09/16/2007,Initial claims by education,Total,1922
09/23/2007,Initial claims by education,Total,1788
09/30/2007,Initial claims by education,Total,1895
10/07/2007,Initial claims by education,Total,3422
10/14/2007,Initial claims by education,Total,2296
10/21/2007,Initial claims by education,Total,2094
10/28/2007,Initial claims by education,Total,2350
11/04/2007,Initial claims by education,Total,2647
11/11/2007,Initial claims by education,Total,2315
11/18/2007,Initial claims by education,Total,2966
11/25/2007,Initial claims by education,Total,2352
12/02/2007,Initial claims by education,Total,3077
12/09/2007,Initial claims by education,Total,2846
12/16/2007,Initial claims by education,Total,4158
12/23/2007,Initial claims by education,Total,12840
12/30/2007,Initial claims by education,Total,2856
01/06/2008,Initial claims by education,Total,7862
01/13/2008,Initial claims by education,Total,4090
01/20/2008,Initial claims by education,Total,3363
01/27/2008,Initial claims by education,Total,3479
02/03/2008,Initial claims by education,Total,3688
02/10/2008,Initial claims by education,Total,2963
02/17/2008,Initial claims by education,Total,3480
02/24/2008,Initial claims by education,Total,2919
03/02/2008,Initial claims by education,Total,2867
03/09/2008,Initial claims by education,Total,2545
03/16/2008,Initial claims by education,Total,2139
03/23/2008,Initial claims by education,Total,2227
03/30/2008,Initial claims by education,Total,2291
04/06/2008,Initial claims by education,Total,3632
04/13/2008,Initial claims by education,Total,3362
04/20/2008,Initial claims by education,Total,2359
04/27/2008,Initial claims by education,Total,2448
05/04/2008,Initial claims by education,Total,2505
05/11/2008,Initial claims by education,Total,2501
05/18/2008,Initial claims by education,Total,2500
05/25/2008,Initial claims by education,Total,2046
06/01/2008,Initial claims by education,Total,2783
06/08/2008,Initial claims by education,Total,2445
06/15/2008,Initial claims by education,Total,2813
06/22/2008,Initial claims by education,Total,3635
06/29/2008,Initial claims by education,Total,2993
07/06/2008,Initial claims by education,Total,7018
07/13/2008,Initial claims by education,Total,3432
07/20/2008,Initial claims by education,Total,3210
07/27/2008,Initial claims by education,Total,3288
08/03/2008,Initial claims by education,Total,3599
08/10/2008,Initial claims by education,Total,3338
08/17/2008,Initial claims by education,Total,4327
08/24/2008,Initial claims by education,Total,4286
08/31/2008,Initial claims by education,Total,3550
09/07/2008,Initial claims by education,Total,3205
09/14/2008,Initial claims by education,Total,2880
09/21/2008,Initial claims by education,Total,2661
09/28/2008,Initial claims by education,Total,2746
10/05/2008,Initial claims by education,Total,4529
10/12/2008,Initial claims by education,Total,2943
10/19/2008,Initial claims by education,Total,3516
10/26/2008,Initial claims by education,Total,3714
11/02/2008,Initial claims by education,Total,4123
11/09/2008,Initial claims by education,Total,3683
11/16/2008,Initial claims by education,Total,4373
11/23/2008,Initial claims by education,Total,5371
11/30/2008,Initial claims by education,Total,4774
12/07/2008,Initial claims by education,Total,5567
12/14/2008,Initial claims by education,Total,5895
12/21/2008,Initial claims by education,Total,15539
12/28/2008,Initial claims by education,Total,7484
01/04/2009,Initial claims by education,Total,11712
01/11/2009,Initial claims by education,Total,6940
01/18/2009,Initial claims by education,Total,6216
01/25/2009,Initial claims by education,Total,5973
02/01/2009,Initial claims by education,Total,6803
02/08/2009,Initial claims by education,Total,6005
02/15/2009,Initial claims by education,Total,6944
02/22/2009,Initial claims by education,Total,5073
03/01/2009,Initial claims by education,Total,6150
03/08/2009,Initial claims by education,Total,5401
